student_id,class_group,pre_score,post_score,change_score
I01,retrieval_routine,67.9,75.2,7.3
I02,retrieval_routine,76.4,88.1,11.8
I03,retrieval_routine,73.9,81.0,7.1
I04,retrieval_routine,73.8,85.0,11.2
I05,retrieval_routine,81.0,94.8,13.9
I06,retrieval_routine,58.4,64.6,6.3
I07,retrieval_routine,63.0,78.1,15.2
I08,retrieval_routine,57.4,74.5,17.1
I09,retrieval_routine,67.1,81.5,14.4
I10,retrieval_routine,76.0,90.8,14.8
I11,retrieval_routine,67.8,82.3,14.5
I12,retrieval_routine,72.0,92.2,20.3
I13,retrieval_routine,52.7,62.6,9.9
I14,retrieval_routine,69.2,78.2,9.0
I15,retrieval_routine,60.7,72.8,12.0
I16,retrieval_routine,82.2,86.7,4.5
I17,retrieval_routine,75.1,76.3,1.2
I18,retrieval_routine,75.6,80.2,4.6
I19,retrieval_routine,67.5,78.4,10.9
I20,retrieval_routine,72.9,84.3,11.4
I21,retrieval_routine,73.3,74.6,1.3
I22,retrieval_routine,65.2,64.8,-0.4
I23,retrieval_routine,64.0,71.4,7.4
I24,retrieval_routine,67.1,75.1,8.1
C01,comparison_class,65.2,67.9,2.8
C02,comparison_class,65.2,71.6,6.4
C03,comparison_class,67.7,76.9,9.1
C04,comparison_class,64.2,68.3,4.2
C05,comparison_class,76.1,82.2,6.1
C06,comparison_class,57.2,54.8,-2.5
C07,comparison_class,76.6,73.7,-2.9
C08,comparison_class,65.0,69.2,4.2
C09,comparison_class,65.6,72.0,6.3
C10,comparison_class,59.2,65.8,6.6
C11,comparison_class,68.8,74.8,6.0
C12,comparison_class,68.0,74.9,6.9
C13,comparison_class,71.5,78.6,7.0
C14,comparison_class,65.7,60.0,-5.8
C15,comparison_class,70.8,70.1,-0.7
C16,comparison_class,84.6,89.8,5.3
C17,comparison_class,73.3,79.3,6.0
C18,comparison_class,65.4,60.9,-4.6
C19,comparison_class,77.6,86.5,8.9
C20,comparison_class,69.0,69.8,0.8
C21,comparison_class,74.8,76.6,1.8
C22,comparison_class,74.9,79.3,4.4
C23,comparison_class,66.9,73.6,6.7
C24,comparison_class,54.6,50.4,-4.2
