student_id,reported_weekday_sleep_hours,weekly_study_hours,biology_quiz_score
S01,4.8,3.1,82.5
S02,5.0,1.8,75.2
S03,5.1,1.5,83.9
S04,5.5,2.2,81.1
S05,5.1,1.3,86.6
S06,5.8,2.3,82.9
S07,5.7,2.6,83.3
S08,6.3,3.5,89.0
S09,6.4,4.0,96.3
S10,6.7,1.2,86.4
S11,6.6,4.3,100.0
S12,6.6,3.5,89.8
S13,6.9,4.5,98.8
S14,7.2,1.4,98.3
S15,6.8,2.3,88.4
S16,7.2,2.8,95.9
S17,7.2,3.6,100.0
S18,7.7,2.1,96.2
S19,7.2,2.6,89.4
S20,7.5,2.0,81.8
S21,7.8,2.6,100.0
S22,7.9,2.8,98.9
S23,7.5,3.0,100.0
S24,8.1,3.5,97.7
S25,8.1,1.8,100.0
S26,8.2,3.2,100.0
S27,8.4,1.3,94.5
S28,8.6,3.1,96.7
S29,8.2,2.6,99.4
S30,9.2,1.5,96.5
