plant_id,condition,replicate,initial_height_cm,final_height_cm,germinated,notes
P01,0% salt,D1,2.1,5.8,1,
P02,0% salt,D1,2.0,5.5,1,
P03,0% salt,D2,2.2,6.0,1,
P04,0% salt,D2,1.9,5.3,1,
P05,0% salt,D3,2.1,5.7,1,
P06,0% salt,D3,2.0,5.4,1,
P07,1% salt,D4,2.1,4.9,1,
P08,1% salt,D4,2.0,4.6,1,
P09,1% salt,D5,2.2,4.8,1,
P10,1% salt,D5,2.0,4.5,1,
P11,1% salt,D6,2.1,4.7,1,
P12,1% salt,D6,1.9,4.3,1,
P13,2% salt,D7,2.0,3.6,1,
P14,2% salt,D7,2.1,3.5,1,
P15,2% salt,D8,2.2,3.7,1,
P16,2% salt,D8,2.0,3.4,1,
P17,2% salt,D9,2.1,3.5,0,seed did not visibly emerge
P18,2% salt,D9,2.0,3.3,1,
