seed_id,dish_id,NaCl_mM,seed_position,germinated,radicle_length_mm
D01-S1,D01,0,1,1,33.2
D01-S2,D01,0,2,1,34.2
D01-S3,D01,0,3,1,35.2
D01-S4,D01,0,4,1,36.2
D01-S5,D01,0,5,1,37.2
D02-S1,D02,0,1,1,31.8
D02-S2,D02,0,2,1,32.8
D02-S3,D02,0,3,1,33.8
D02-S4,D02,0,4,1,34.8
D02-S5,D02,0,5,1,35.8
D03-S1,D03,0,1,1,34.1
D03-S2,D03,0,2,1,35.1
D03-S3,D03,0,3,1,36.1
D03-S4,D03,0,4,1,37.1
D03-S5,D03,0,5,1,38.1
D04-S1,D04,0,1,1,32.5
D04-S2,D04,0,2,1,33.5
D04-S3,D04,0,3,1,34.5
D04-S4,D04,0,4,1,35.5
D04-S5,D04,0,5,1,36.5
D05-S1,D05,0,1,1,30.9
D05-S2,D05,0,2,1,31.9
D05-S3,D05,0,3,1,32.9
D05-S4,D05,0,4,1,33.9
D05-S5,D05,0,5,1,34.9
D06-S1,D06,0,1,1,33.7
D06-S2,D06,0,2,1,34.7
D06-S3,D06,0,3,1,35.7
D06-S4,D06,0,4,1,36.7
D06-S5,D06,0,5,1,37.7
D07-S1,D07,50,1,1,25.8
D07-S2,D07,50,2,1,26.8
D07-S3,D07,50,3,1,27.8
D07-S4,D07,50,4,1,28.8
D07-S5,D07,50,5,1,29.8
D08-S1,D08,50,1,1,23.9
D08-S2,D08,50,2,1,24.9
D08-S3,D08,50,3,1,25.9
D08-S4,D08,50,4,1,26.9
D08-S5,D08,50,5,1,27.9
D09-S1,D09,50,1,1,26.9
D09-S2,D09,50,2,1,27.9
D09-S3,D09,50,3,1,28.9
D09-S4,D09,50,4,1,29.9
D09-S5,D09,50,5,0,
D10-S1,D10,50,1,1,24.7
D10-S2,D10,50,2,1,25.7
D10-S3,D10,50,3,1,26.7
D10-S4,D10,50,4,1,27.7
D10-S5,D10,50,5,1,28.7
D11-S1,D11,50,1,1,23.3
D11-S2,D11,50,2,1,24.3
D11-S3,D11,50,3,1,25.3
D11-S4,D11,50,4,1,26.3
D11-S5,D11,50,5,0,
D12-S1,D12,50,1,1,25.1
D12-S2,D12,50,2,1,26.1
D12-S3,D12,50,3,1,27.1
D12-S4,D12,50,4,1,28.1
D12-S5,D12,50,5,1,29.1
D13-S1,D13,100,1,1,15.7
D13-S2,D13,100,2,1,16.7
D13-S3,D13,100,3,1,17.7
D13-S4,D13,100,4,1,18.7
D13-S5,D13,100,5,0,
D14-S1,D14,100,1,1,14.3
D14-S2,D14,100,2,1,15.3
D14-S3,D14,100,3,1,16.3
D14-S4,D14,100,4,1,17.3
D14-S5,D14,100,5,0,
D15-S1,D15,100,1,1,17.1
D15-S2,D15,100,2,1,18.1
D15-S3,D15,100,3,1,19.1
D15-S4,D15,100,4,0,
D15-S5,D15,100,5,0,
D16-S1,D16,100,1,1,13.4
D16-S2,D16,100,2,1,14.4
D16-S3,D16,100,3,1,15.4
D16-S4,D16,100,4,1,16.4
D16-S5,D16,100,5,0,
D17-S1,D17,100,1,1,15.4
D17-S2,D17,100,2,1,16.4
D17-S3,D17,100,3,1,17.4
D17-S4,D17,100,4,0,
D17-S5,D17,100,5,0,
D18-S1,D18,100,1,1,15.5
D18-S2,D18,100,2,1,16.5
D18-S3,D18,100,3,1,17.5
D18-S4,D18,100,4,1,18.5
D18-S5,D18,100,5,0,
