id,severity,area,defect,evidence/reproduction,status,resolution
D-001,Blocker,Recovery,New project can resurrect old project,Primary key was removed but recovery/meta remained; safeLoad then loaded the old recovery snapshot.,Fixed,"New Project now clears primary, recovery, metadata, and per-device onboarding marker."
D-002,Blocker,Recovery/privacy,Privacy-minimized copy accepted as recovery backup,Privacy copy contains omitted raw data/manuscript placeholders but restore treated it like a full backup.,Fixed,Privacy copies validate for integrity but are marked non-restorable and blocked by Recovery Center.
D-003,Blocker,Pilot integrity,Frozen AI policy not enforced,AI could remain enabled/configurable after a project was frozen with AI disabled.,Fixed,AI Coach visibility/settings are gated by the frozen project pilot policy.
D-004,Blocker,Pilot integrity,Public transfer bank not governed by transfer policy,Public tasks could still be opened when transfer was disabled or a private evaluation bank was selected.,Fixed,Public Transfer Lab is disabled after baseline start unless policy is classroom-practice.
D-005,Major,Mobile navigation,Research stages disappear at <=820 px,Legacy CSS hides phase navigation and there was no direct stage control.,Fixed,Added mobile stage picker covering all 18 stages while preserving compact layout.
D-006,Major,Storage resilience,Readiness/onboarding can throw when localStorage is unavailable,storageReport/onboarding read localStorage outside protected calls.,Fixed,All pilot-layer localStorage reads/removals used by these paths are guarded.
D-007,Major,Restore UX,Restored project leaves stale main UI until another render/reload,Project object was replaced and saved while the background UI remained from the pre-restore project.,Fixed,Successful restore saves and reloads the application.
D-008,Moderate,Teacher dashboard,Duplicate review-packet imports inflate class counts,The same project packet could be pushed multiple times.,Fixed,Imports now upsert by project_id and replace the earlier packet.
D-009,Moderate,Backup operations,Backup filenames collide and are hard to distinguish,Generic names made repeated/project-specific backups difficult to identify.,Fixed,"Backup filenames include sanitized project name, mode, and timestamp."
D-010,Minor,Save status,Initial save label implies a save before persistence occurs,Header said Saved locally before first save and did not reflect loaded timestamp.,Fixed,Header starts Not saved yet and initializes from stored save metadata.
E-001,Environment limitation,Browser QA,Headless Chromium could not complete in container,Chromium/Playwright navigation was blocked or hung due container administrator/DBus restrictions.,Open,Automated engine/static dry run completed; real-device browser matrix remains a required pre-pilot manual step.
